transnational_regions,time,tp,realization
11,1976-04-01,94.04231943266973,0
11,1976-05-01,52.177513495104066,0
11,1976-06-01,30.722852426985085,0
11,1976-07-01,51.57501280665108,0
11,1976-08-01,67.49695008215375,0
11,1976-09-01,76.00807754328918,0
11,1976-10-01,109.26693464099526,0
11,1976-11-01,63.90594437850113,0
11,1976-12-01,123.92249867788692,0
11,1977-01-01,119.3052604945362,0
11,1977-02-01,101.43472561874066,0
11,1977-03-01,52.15542255845796,0
11,1977-04-01,48.38066003098206,0
11,1977-05-01,107.68419323375468,0
11,1977-06-01,80.01305426340896,0
11,1977-07-01,66.93438294204309,0
11,1977-08-01,53.76737862809439,0
11,1977-09-01,19.25166265321684,0
11,1977-10-01,95.91478193974038,0
11,1977-11-01,58.4916415059577,0
11,1977-12-01,103.31153428231013,0
11,1978-01-01,81.96412319647717,0
11,1978-02-01,119.18638143741526,0
11,1978-03-01,73.14853195848555,0
11,1978-04-01,88.18390808827948,0
11,1978-05-01,76.95601306080486,0
11,1978-06-01,59.0404505213202,0
11,1978-07-01,21.85925176568462,0
11,1978-08-01,18.15992265552415,0
11,1978-09-01,23.40732927300195,0
11,1978-10-01,28.753454238917072,0
11,1978-11-01,32.81776478129215,0
11,1978-12-01,154.1181954038314,0
11,1979-01-01,130.71979586011264,0
11,1979-02-01,124.34193556833189,0
11,1979-03-01,96.73997823533614,0
11,1979-04-01,81.82575442834607,0
11,1979-05-01,62.66627924415333,0
11,1979-06-01,47.20325763996176,0
11,1979-07-01,38.39535177090286,0
11,1979-08-01,34.2935230550417,0
11,1979-09-01,48.30043922432324,0
11,1979-10-01,152.2659675676869,0
11,1979-11-01,45.839159412895796,0
11,1979-12-01,67.57572488531534,0
11,1980-01-01,66.66614073640051,0
11,1980-02-01,59.05156083741609,0
11,1980-03-01,79.22613050581317,0
11,1980-04-01,59.25904868005972,0
11,1980-05-01,99.36612090710442,0
11,1980-06-01,51.78681487443225,0
11,1980-07-01,35.154604838789986,0
11,1980-08-01,39.436434314524156,0
11,1980-09-01,40.26782978977302,0
11,1980-10-01,66.05233933756023,0
11,1980-11-01,75.20650418751397,0
11,1980-12-01,48.121091483129675,0
11,1981-01-01,41.77427493305174,0
11,1981-02-01,48.53854205832175,0
11,1981-03-01,66.37294352435151,0
11,1981-04-01,94.93148781126703,0
11,1981-05-01,83.941189983078,0
11,1981-06-01,49.1632642675564,0
11,1981-07-01,38.7003821548038,0
11,1981-08-01,37.07131399394983,0
11,1981-09-01,63.318328249728054,0
11,1981-10-01,64.83567559905715,0
11,1981-11-01,8.29299401911176,0
11,1981-12-01,169.95139959693682,0
11,1982-01-01,68.6117864160814,0
11,1982-02-01,62.71458587995147,0
11,1982-03-01,52.17404768548096,0
11,1982-04-01,42.671313863898646,0
11,1982-05-01,62.20193310308939,0
11,1982-06-01,44.71582942654446,0
11,1982-07-01,51.791400051758615,0
11,1982-08-01,47.620501189008365,0
11,1982-09-01,60.0583106448585,0
11,1982-10-01,87.53071347211929,0
11,1982-11-01,103.1556535517428,0
11,1982-12-01,77.50943332151863,0
11,1983-01-01,11.579569858694109,0
11,1983-02-01,62.050395262121185,0
11,1983-03-01,38.37866714711059,0
11,1983-04-01,111.21500689305942,0
11,1983-05-01,74.14946360458657,0
11,1983-06-01,42.176712986060146,0
11,1983-07-01,49.40640555931436,0
11,1983-08-01,83.677698965941,0
11,1983-09-01,25.444912432285673,0
11,1983-10-01,40.03517880413834,0
11,1983-11-01,116.06748889758252,0
11,1983-12-01,79.07003437698009,0
11,1984-01-01,78.08899397819826,0
11,1984-02-01,53.085380172849455,0
11,1984-03-01,86.0856126792971,0
11,1984-04-01,55.0126148990217,0
11,1984-05-01,122.3969837435958,0
11,1984-06-01,58.28098815083118,0
11,1984-07-01,18.531801199249685,0
11,1984-08-01,43.59330406186608,0
11,1984-09-01,47.46178342392572,0
11,1984-10-01,65.2689300088819,0
11,1984-11-01,159.40370432595387,0
11,1984-12-01,46.83353003051824,0
