Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2000","2000","7021","Annual value","USD","590.6","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2001","2001","7021","Annual value","USD","442.5","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2002","2002","7021","Annual value","USD","601.4","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2003","2003","7021","Annual value","USD","788.9","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2004","2004","7021","Annual value","USD","511.6","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2005","2005","7021","Annual value","USD","649.2","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2006","2006","7021","Annual value","USD","737.6","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2007","2007","7021","Annual value","USD","877.7","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2008","2008","7021","Annual value","USD","862.6","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2009","2009","7021","Annual value","USD","808.6","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2010","2010","7021","Annual value","USD","930.4","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2011","2011","7021","Annual value","USD","612.5","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2012","2012","7021","Annual value","USD","694.3","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2013","2013","7021","Annual value","USD","719.6","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2014","2014","7021","Annual value","USD","689.2","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2015","2015","7021","Annual value","USD","361.1","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2016","2016","7021","Annual value","USD","311","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2017","2017","7021","Annual value","USD","439.2","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2018","2018","7021","Annual value","USD","372.6","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2019","2019","7021","Annual value","USD","353.4","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2020","2020","7021","Annual value","USD","363.1","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2021","2021","7021","Annual value","USD","441","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2022","2022","7021","Annual value","USD","484.5","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2023","2023","7021","Annual value","USD","567","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","2024","2024","7021","Annual value","USD","363.7","A","Official figure"
