time,axis_nbounds,lat,lon,time_bounds,pr
2055-06-16 00:00:00,0.5,40.56338,-2.5,2055-06-16 00:00:00,7.20319e-06
2055-07-16 12:00:00,0.5,40.56338,-2.5,2055-07-16 12:00:00,4.8520327e-05
2056-04-16 00:00:00,0.5,40.56338,-2.5,2056-04-16 00:00:00,2.2804052e-05
2056-05-16 12:00:00,0.5,40.56338,-2.5,2056-05-16 12:00:00,4.436472e-05
2056-06-16 00:00:00,0.5,40.56338,-2.5,2056-06-16 00:00:00,4.331271e-05
2056-07-16 12:00:00,0.5,40.56338,-2.5,2056-07-16 12:00:00,6.986597e-05
2057-04-16 00:00:00,0.5,40.56338,-2.5,2057-04-16 00:00:00,1.8210958e-06
2057-05-16 12:00:00,0.5,40.56338,-2.5,2057-05-16 12:00:00,0.00011842442
2057-06-16 00:00:00,0.5,40.56338,-2.5,2057-06-16 00:00:00,2.3658158e-05
2057-07-16 12:00:00,0.5,40.56338,-2.5,2057-07-16 12:00:00,6.0984712e-05
2058-04-16 00:00:00,0.5,40.56338,-2.5,2058-04-16 00:00:00,2.083342e-05
2058-05-16 12:00:00,0.5,40.56338,-2.5,2058-05-16 12:00:00,1.9127645e-05
2058-06-16 00:00:00,0.5,40.56338,-2.5,2058-06-16 00:00:00,0.000108022985
2058-07-16 12:00:00,0.5,40.56338,-2.5,2058-07-16 12:00:00,9.667143e-05
2059-04-16 00:00:00,0.5,40.56338,-2.5,2059-04-16 00:00:00,4.5712026e-05
2059-05-16 12:00:00,0.5,40.56338,-2.5,2059-05-16 12:00:00,1.7709512e-05
2059-06-16 00:00:00,0.5,40.56338,-2.5,2059-06-16 00:00:00,3.0230738e-05
2059-07-16 12:00:00,0.5,40.56338,-2.5,2059-07-16 12:00:00,5.0100578e-05
2060-04-16 00:00:00,0.5,40.56338,-2.5,2060-04-16 00:00:00,4.692804e-05
2060-05-16 12:00:00,0.5,40.56338,-2.5,2060-05-16 12:00:00,4.845474e-05
2060-06-16 00:00:00,0.5,40.56338,-2.5,2060-06-16 00:00:00,6.0340888e-05
2060-07-16 12:00:00,0.5,40.56338,-2.5,2060-07-16 12:00:00,2.355012e-05
2061-04-16 00:00:00,0.5,40.56338,-2.5,2061-04-16 00:00:00,3.9923976e-05
2061-05-16 12:00:00,0.5,40.56338,-2.5,2061-05-16 12:00:00,6.375405e-05
2061-06-16 00:00:00,0.5,40.56338,-2.5,2061-06-16 00:00:00,2.4924924e-05
2061-07-16 12:00:00,0.5,40.56338,-2.5,2061-07-16 12:00:00,2.3796176e-05
2062-04-16 00:00:00,0.5,40.56338,-2.5,2062-04-16 00:00:00,2.2827271e-05
2062-05-16 12:00:00,0.5,40.56338,-2.5,2062-05-16 12:00:00,2.1159827e-05
2062-06-16 00:00:00,0.5,40.56338,-2.5,2062-06-16 00:00:00,3.74436e-05
2062-07-16 12:00:00,0.5,40.56338,-2.5,2062-07-16 12:00:00,4.3384305e-05
2063-04-16 00:00:00,0.5,40.56338,-2.5,2063-04-16 00:00:00,2.638783e-05
2063-05-16 12:00:00,0.5,40.56338,-2.5,2063-05-16 12:00:00,4.2199605e-05
2063-06-16 00:00:00,0.5,40.56338,-2.5,2063-06-16 00:00:00,3.9066326e-05
2063-07-16 12:00:00,0.5,40.56338,-2.5,2063-07-16 12:00:00,5.0692775e-05
2064-04-16 00:00:00,0.5,40.56338,-2.5,2064-04-16 00:00:00,5.7325237e-06
